Probandennummer;NLZ;Sportart;Leistungsniveau;Geschlecht;Alter zum Testzeitpkt;Gewicht;Größe;Squat Jump;Countermovement Jump;1RM Kniebeuge hinten;Linearsprint 10m;Linearsprint 20m;Linearsprint 30 m;Relativkraftleistung
1970;5;Fußball;Nachwuchsleistungszentrum;männlich;18;69.1;172;39.8;41.5;105;1.73;;3.91;1.52
1971;5;Fußball;Nachwuchsleistungszentrum;männlich;18;67;162;43.1;43.2;90;1.83;;4.17;1.34
1972;5;Fußball;Nachwuchsleistungszentrum;männlich;18;90.3;192;40.2;41.6;120;1.75;;4.08;1.33
1973;5;Fußball;Nachwuchsleistungszentrum;männlich;18;61.8;177;41.5;42.2;105;1.64;;3.94;1.7
1974;5;Fußball;Nachwuchsleistungszentrum;männlich;18;71.9;169;35.3;37.7;85;1.87;;4.19;1.18
1975;5;Fußball;Nachwuchsleistungszentrum;männlich;18;60.7;173;46.8;47.2;105;1.61;;3.89;1.73
1976;5;Fußball;Nachwuchsleistungszentrum;männlich;17;84.8;185;42.3;43.8;95;1.7;;4.07;1.12
1977;5;Fußball;Nachwuchsleistungszentrum;männlich;17;60.1;175;36.5;39.2;95;1.7;;4.04;1.58
1978;5;Fußball;Nachwuchsleistungszentrum;männlich;17;71.8;185;41.8;43.1;90;1.77;;4.22;1.25
1979;5;Fußball;Nachwuchsleistungszentrum;männlich;17;63;172;31.1;33.5;75;1.74;;4.34;1.19
1980;5;Fußball;Nachwuchsleistungszentrum;männlich;17;71.7;177;44.1;46.9;110;1.75;;4.19;1.53
1981;5;Fußball;Nachwuchsleistungszentrum;männlich;17;70.4;172;45.8;48.5;100;1.81;;4.28;1.42
1982;5;Fußball;Nachwuchsleistungszentrum;männlich;17;54;166;32.5;33.2;70;1.81;;4.22;1.3
1983;5;Fußball;Nachwuchsleistungszentrum;männlich;17;71.3;175;33.1;34.6;100;1.78;;4.23;1.4
1984;5;Fußball;Nachwuchsleistungszentrum;männlich;17;67.6;177;40.9;43.2;85;1.74;;4.13;1.26
1985;5;Fußball;Nachwuchsleistungszentrum;männlich;17;68;176;47.1;48.2;110;1.72;;4.15;1.62
1986;5;Fußball;Nachwuchsleistungszentrum;männlich;17;67.6;176;43.4;44.5;90;1.72;;4.07;1.33
